sigle,groupe,annee,source,bilan,emploi,ressources,fonds_propres,effectif,agences,pnb,resultat_net,charges_exploit,rbe,cout_risque,interets_produits,interets_charges,roa,coeff_exploit,taux_transfo,solvabilite,liquidite,score_global,classement
CBI,Groupes Règionaux,2020,BASE_SENEGAL2,324023.0,153437.0,152263.0,,89.0,12.0,,,,,,,,,,100.77,,46.99,26.3,19.0
CDS,Groupes Règionaux,2020,BASE_SENEGAL2,234308.0,120974.0,165867.0,,150.0,8.0,,,,,,,,,,72.93,,70.79,33.6,10.0
CISA,Groupes Internationaux,2020,BASE_SENEGAL2,54371.0,24343.0,46724.0,,51.0,2.0,,,,,,,,,,52.1,,85.94,28.0,18.0
CITIBANK,Groupes Continentaux,2020,BASE_SENEGAL2,135275.0,43616.0,157563.0,,28.0,1.0,,,,,,,,,,27.68,,116.48,35.4,8.0
ECOBANK,Groupes Continentaux,2020,BASE_SENEGAL2,721563.0,299014.0,461252.0,,399.0,28.0,,,,,,,,,,64.83,,63.92,53.3,3.0
FBNBANK,Groupes Continentaux,2020,BASE_SENEGAL2,72848.0,26025.0,36455.0,,98.0,6.0,,,,,,,,,,71.39,,50.04,30.5,14.0
LBA,Groupes Locaux,2020,BASE_SENEGAL2,343035.0,272639.0,244963.0,,353.0,40.0,,,,,,,,,,111.3,,71.41,33.7,9.0
LBO,Groupes Locaux,2020,BASE_SENEGAL2,29599.0,15473.0,14965.0,,40.0,2.0,,,,,,,,,,103.39,,50.56,25.0,20.0
NSIA BANQUE,Groupes Règionaux,2020,BASE_SENEGAL2,363867.0,159892.0,205412.0,,150.0,12.0,,,,,,,,,,77.84,,56.45,29.7,17.0
ORABANK,Groupes Continentaux,2020,BASE_SENEGAL2,490396.0,240373.0,277871.0,,234.0,13.0,,,,,,,,,,86.51,,56.66,30.1,15.0
SGBS,Groupes Internationaux,2020,BASE_SENEGAL2,967133.0,634939.0,757582.0,,876.0,38.0,,,,,,,,,,83.81,,78.33,70.9,2.0
UBA,Groupes Continentaux,2020,BASE_SENEGAL2,266195.0,93978.0,164610.0,,184.0,10.0,,,,,,,,,,57.09,,61.84,35.6,7.0
BAS,Continentaux,2021,BCEAO_2022,391136.0,,201683.0,,,,8356.0,4016.0,6424.0,,,,,1.03,,,,,,
BDK,Locaux,2021,BCEAO_2022,301577.0,,174606.0,,,,16360.0,3740.0,9315.0,,,,,1.24,,,,,,
BGFI,Continentaux,2021,BCEAO_2022,216330.0,,102549.0,,,,,1549.0,,,,,,0.72,,,,,,
BHS,Locaux,2021,BCEAO_2022,532282.0,,352184.0,,,,12575.0,3349.0,5430.0,,,,,0.63,,,,,,
BICIS,Internationaux,2021,BCEAO_2022,550574.0,,430973.0,,,,34774.0,8434.0,20649.0,,,,,1.53,,,,,,
BIMAO,Locaux,2021,BCEAO_2022,51122.0,,7929.0,,,,,2475.0,,,,,,4.84,,,,,,
BIS,Locaux,2021,BCEAO_2022,577639.0,,388378.0,,,,,9642.0,,,,,,1.67,,,,,,
BNDE,Locaux,2021,BCEAO_2022,332107.0,,49710.0,,,,,2573.0,,,,,,0.77,,,,,,
BOA,Continentaux,2021,BCEAO_2022,626289.0,,445946.0,,,,35726.0,11070.0,15829.0,,,,,1.77,,,,,,
BRM,Locaux,2021,BCEAO_2022,194259.0,,105129.0,,,,,8950.0,,,,,,4.61,,,,,,
BSIC,Continentaux,2021,BCEAO_2022,149512.0,,81891.0,,,,,2328.0,,,,,,1.56,,,,,,
CBAO,Continentaux,2021,BCEAO_2022,1172780.0,,969295.0,,,,83344.0,29415.0,38617.0,,,,,2.51,,,,,,
CBI,Regionaux,2021,BCEAO_2022,410737.0,,228261.0,,,,,8824.0,,,,,,2.15,,,,,,
CDS,Continentaux,2021,BCEAO_2022,242391.0,,146641.0,,,,14673.0,5821.0,6462.0,,,,,2.4,,,,,,
CI,Locaux,2021,BCEAO_2022,54757.0,,37198.0,,,,,,,,,,,,,,,,,
CITIBANK,Internationaux,2021,BCEAO_2022,226778.0,,187753.0,,,,,4343.0,,,,,,1.92,,,,,,
ECOBANK,Continentaux,2021,BCEAO_2022,844547.0,,476700.0,,,,42634.0,12307.0,24057.0,,,,,1.46,,,,,,
FBNBANK,Internationaux,2021,BCEAO_2022,121265.0,,106562.0,,,,,1141.0,,,,,,0.94,,,,,,
LBA,Locaux,2021,BCEAO_2022,352816.0,,266113.0,,,,19785.0,6758.0,11444.0,,,,,1.92,,,,,,
NSIA BANQUE,Continentaux,2021,BCEAO_2022,439249.0,,297767.0,,,,13967.0,2939.0,9125.0,,,,,0.67,,,,,,
ORABANK,Continentaux,2021,BCEAO_2022,641156.0,,458251.0,,,,,11307.0,,,,,,1.76,,,,,,
SGBS,Internationaux,2021,BCEAO_2022,1106364.0,,914208.0,,,,71746.0,18070.0,43690.0,,,,,1.63,,,,,,
UBA,Internationaux,2021,BCEAO_2022,369749.0,,252497.0,,,,16590.0,9280.0,7754.0,,,,,2.51,,,,,,
BAS,Continentaux,2022,BCEAO_2022,491984.0,,337354.0,,,,8644.0,1131.0,5920.0,,,,,0.23,,,,,,
BDK,Locaux,2022,BCEAO_2022,355692.0,,232315.0,,,,8237.0,5070.0,1014.0,,,,,1.43,,,,,,
BGFI,Continentaux,2022,BCEAO_2022,220107.0,,100390.0,,,,,2855.0,,,,,,1.3,,,,,,
